Time,TOTAL
2018-11-13 18:27:29,152711
2018-11-13 18:28:29,187948
2018-11-13 18:29:29,263462
2018-11-13 18:30:29,266298
2018-11-13 18:31:30,188126
2018-11-13 18:32:30,184630
2018-11-13 18:33:30,181098
2018-11-13 18:34:31,189502
2018-11-13 18:35:31,181734
2018-11-13 18:36:31,183280
2018-11-13 18:37:32,189507
2018-11-13 18:38:32,190046
2018-11-13 18:39:32,213012
2018-11-13 18:40:33,229303
2018-11-13 18:41:33,217669
2018-11-13 18:42:33,216375
2018-11-13 18:43:34,215411
2018-11-13 18:44:34,218340
2018-11-13 18:45:34,218533
2018-11-13 18:46:35,223808
2018-11-13 18:47:35,213743
2018-11-13 18:48:35,223602
2018-11-13 18:49:36,221729
2018-11-13 18:50:36,213633
2018-11-13 18:51:36,221693
2018-11-13 18:52:37,222198
2018-11-13 18:53:37,222073
2018-11-13 18:54:37,223205
2018-11-13 18:55:37,223198
2018-11-13 18:56:38,230042
2018-11-13 18:57:38,229337
2018-11-13 18:58:38,276762
2018-11-13 18:59:39,296515
2018-11-13 19:00:39,267137
2018-11-13 19:01:39,261481
2018-11-13 19:02:40,254916
2018-11-13 19:03:40,266549
2018-11-13 19:04:40,255713
2018-11-13 19:05:41,253684
2018-11-13 19:06:41,259406
2018-11-13 19:07:41,270496
2018-11-13 19:08:42,263352
2018-11-13 19:09:42,260652
2018-11-13 19:10:43,272334
2018-11-13 19:11:43,252173
2018-11-13 19:12:43,268071
2018-11-13 19:13:44,266106
2018-11-13 19:14:44,273732
2018-11-13 19:15:44,258205
2018-11-13 19:16:45,276507
2018-11-13 19:17:45,270876
2018-11-13 19:18:45,261316
2018-11-13 19:19:46,262658
2018-11-13 19:20:46,272536
2018-11-13 19:21:47,269819
2018-11-13 19:22:47,269274
2018-11-13 19:23:48,270998
2018-11-13 19:24:48,270200
2018-11-13 19:25:48,271160
2018-11-13 19:26:49,271448
2018-11-13 19:27:49,270400
2018-11-13 19:28:50,270840
2018-11-13 19:29:50,270096
2018-11-13 19:30:51,270954
2018-11-13 19:31:51,270002
2018-11-13 19:32:52,271438
2018-11-13 19:33:52,271254
2018-11-13 19:34:52,271506
2018-11-13 19:35:53,270879
2018-11-13 19:36:53,270671
2018-11-13 19:37:53,270891
2018-11-13 19:38:54,259459
2018-11-13 19:39:54,269467
2018-11-13 19:40:55,267670
2018-11-13 19:41:55,268662
2018-11-13 19:42:56,267998
2018-11-13 19:43:56,267934
2018-11-13 19:44:56,268150
2018-11-13 19:45:57,267890
2018-11-13 19:46:57,268186
2018-11-13 19:47:58,268274
2018-11-13 19:48:58,268112
2018-11-13 19:49:59,267340
2018-11-13 19:50:59,267348
2018-11-13 19:51:59,267504
2018-11-13 19:53:00,268220
2018-11-13 19:54:00,268011
2018-11-13 19:55:01,265979
2018-11-13 19:56:02,265803
2018-11-13 19:57:02,265979
