Time,TOTAL
2018-11-12 09:39:55,128923
2018-11-12 09:40:56,266655
2018-11-12 09:41:56,215782
2018-11-12 09:42:56,220837
2018-11-12 09:43:56,219741
2018-11-12 09:44:57,218958
2018-11-12 09:45:57,216984
2018-11-12 09:46:58,171978
2018-11-12 09:47:58,216134
2018-11-12 09:48:58,235221
2018-11-12 09:49:59,243677
2018-11-12 09:50:59,189820
2018-11-12 09:51:59,141384
2018-11-12 09:52:59,226005
2018-11-12 09:54:00,103128
2018-11-12 09:55:00,168702
2018-11-12 09:56:00,177526
2018-11-12 09:57:01,206469
2018-11-12 09:58:01,187813
2018-11-12 09:59:01,153675
2018-11-12 10:00:02,235379
2018-11-12 10:01:02,235089
2018-11-12 10:02:02,243508
2018-11-12 10:03:03,251023
2018-11-12 10:04:03,226842
2018-11-12 10:05:03,273754
2018-11-12 10:06:04,148913
2018-11-12 10:07:04,33057
2018-11-12 10:08:04,217566
2018-11-12 10:09:05,94024
2018-11-12 10:10:05,223630
2018-11-12 10:11:05,146599
2018-11-12 10:12:06,202720
2018-11-12 10:13:06,211471
2018-11-12 10:14:06,153068
2018-11-12 10:15:07,160198
2018-11-12 10:16:07,223733
2018-11-12 10:17:07,212048
2018-11-12 10:18:07,213205
2018-11-12 10:19:08,192315
2018-11-12 10:20:08,152493
2018-11-12 10:21:08,150231
2018-11-12 10:22:08,145853
2018-11-12 10:23:09,199010
2018-11-12 10:24:09,170326
2018-11-12 10:25:09,225787
2018-11-12 10:26:10,210974
2018-11-12 10:27:10,219073
2018-11-12 10:28:10,169723
2018-11-12 10:29:11,208769
2018-11-12 10:30:11,204826
2018-11-12 10:31:11,193731
2018-11-12 10:32:11,129814
2018-11-12 10:33:12,196222
2018-11-12 10:34:12,152513
2018-11-12 10:35:12,111415
2018-11-12 10:36:12,76319
2018-11-12 10:37:13,122382
2018-11-12 10:38:13,123952
2018-11-12 10:39:13,123573
